batter,boundary_count
V Kohli,981
S Dhawan,921
DA Warner,899
RG Sharma,880
CH Gayle,767
SK Raina,710
AB de Villiers,667
RV Uthappa,663
KD Karthik,627
MS Dhoni,615
F du Plessis,588
KL Rahul,587
AM Rahane,582
SR Watson,567
SV Samson,558
G Gambhir,551
AT Rayudu,532
JC Buttler,517
SA Yadav,515
RR Pant,452
MK Pandey,446
KA Pollard,445
V Sehwag,440
Q de Kock,439
YK Pathan,424
BB McCullum,423
PA Patel,414
Shubman Gill,405
GJ Maxwell,393
SS Iyer,385
WP Saha,383
AD Russell,380
Ishan Kishan,374
Yuvraj Singh,367
N Rana,366
MA Agarwal,363
DR Smith,362
SE Marsh,347
DA Miller,341
M Vijay,338
AC Gilchrist,331
HH Pandya,326
SR Tendulkar,325
RA Jadeja,322
RD Gaikwad,308
RA Tripathi,307
PP Shaw,299
JH Kallis,299
R Dravid,297
AJ Finch,292
SPD Smith,286
YBK Jaiswal,263
SP Narine,261
KS Williamson,251
MEK Hussey,250
MP Stoinis,241
DPMD Jayawardene,240
N Pooran,240
JM Bairstow,235
KC Sangakkara,222
Mandeep Singh,214
D Padikkal,212
JP Duminy,205
KH Pandya,205
Abhishek Sharma,201
KK Nair,200
NV Ojha,200
CA Lynn,198
MK Tiwary,196
S Dube,187
DJ Bravo,186
AR Patel,186
VR Iyer,182
S Badrinath,182
SC Ganguly,179
EJG Morgan,176
BJ Hodge,165
ML Hayden,165
TM Dilshan,164
MM Ali,162
SS Tiwary,161
SO Hetmyer,158
DJ Hooda,157
LMP Simmons,153
DJ Hussey,150
Tilak Varma,148
M Vohra,147
R Parag,144
KM Jadhav,142
LS Livingstone,132
KP Pietersen,131
R Tewatia,131
DP Conway,130
B Sai Sudharsan,127
IK Pathan,126
V Shankar,125
ST Jayasuriya,123
Harbhajan Singh,121
H Klaasen,120
P Simran Singh,119
TM Head,116
JA Morkel,116
MS Bisla,116
MC Henriques,115
A Symonds,115
Y Venugopal Rao,114
CL White,114
HH Gibbs,114
BA Stokes,113
RK Singh,113
LRPL Taylor,112
SM Curran,111
PD Salt,108
AK Markram,108
RM Patidar,105
GC Smith,103
STR Binny,101
E Lewis,98
JM Sharma,98
JJ Roy,96
C Green,94
Shakib Al Hasan,94
R Ashwin,89
JD Ryder,88
MR Marsh,86
TH David,84
HM Amla,81
PC Valthaty,81
TL Suman,81
GJ Bailey,78
SN Khan,77
Rashid Khan,77
PP Chawla,76
CH Morris,76
AM Nayar,75
Abdul Samad,73
AD Mathews,73
M Shahrukh Khan,72
CJ Anderson,71
A Badoni,70
RR Rossouw,70
PJ Cummins,67
Gurkeerat Singh,66
SA Asnodkar,66
MK Lomror,63
KR Mayers,60
SW Billings,60
JR Hopes,60
J Fraser-McGurk,60
JP Faulkner,59
Shashank Singh,58
OA Shah,57
RS Bopara,55
CA Pujara,54
M Manhas,53
Shahbaz Ahmed,53
T Stubbs,52
Abishek Porel,52
S Sohal,52
Azhar Mahmood,52
AP Tare,51
MJ Lumb,51
N Wadhera,50
LR Shukla,49
R Powell,49
NLTC Perera,49
Dhruv Jurel,45
MV Boucher,45
DB Ravi Teja,44
J Botha,44
Rahmanullah Gurbaz,43
P Negi,43
DT Christian,42
AL Menaria,42
UBT Chand,41
Washington Sundar,41
RN ten Doeschate,41
SN Thakur,40
Anuj Rawat,40
P Kumar,39
MJ Guptill,39
DB Das,39
LA Pomersbach,38
VVS Laxman,38
DJ Mitchell,38
R Bhatia,37
PBB Rajapaksa,37
KV Sharma,37
Nithish Kumar Reddy,36
A Mishra,36
C de Grandhomme,36
SP Goswami,35
Atharva Taide,35
B Chipli,35
SM Katich,34
JEC Franklin,34
BCJ Cutting,34
R Ravindra,34
Lalit Yadav,34
WG Jacks,34
B Kumar,33
DJG Sammy,33
D Brevis,33
K Gowtham,32
Salman Butt,32
MD Mishra,32
A Ashish Reddy,31
HV Patel,31
JO Holder,31
A Manohar,31
R Vinay Kumar,30
SP Fleming,30
Mohammad Nabi,30
YV Takawale,29
Y Nagar,29
M Kaif,28
Harpreet Brar,28
R Sathish,28
HC Brook,27
CA Ingram,27
C Munro,27
BJ Rohrer,26
K Goel,26
CR Brathwaite,26
Ashutosh Sharma,25
JC Archer,25
R Dhawan,25
PK Garg,25
DH Yagnik,25
UT Yadav,25
MS Wade,25
AA Jhunjhunwala,24
SD Hope,24
GH Vihari,24
S Vidyut,24
K Rabada,24
A Raghuvanshi,24
AC Blizzard,23
FY Fazal,23
N Jagadeesan,23
JD Unadkat,23
CM Gautam,23
PD Collingwood,22
Naman Dhir,22
Anmolpreet Singh,22
MF Maharoof,21
Ramandeep Singh,21
S Gopal,21
Kamran Akmal,21
SM Pollock,20
SK Warne,20
Sikandar Raza,20
AS Raut,20
KS Bharat,20
Bipul Sharma,20
MN van Wyk,20
D Wiese,19
RE van der Merwe,19
AD Hales,19
MW Short,19
Kuldeep Yadav,19
LJ Wright,19
AC Voges,18
AB Agarkar,18
RD Chahar,18
R Shepherd,17
KK Cooper,17
PA Reddy,17
MG Johnson,17
DW Steyn,17
W Jaffer,17
UT Khawaja,17
Sachin Baby,16
MN Samuels,16
Misbah-ul-Haq,16
M Morkel,16
S Anirudha,16
B Lee,16
DJ Harris,16
N Saini,16
DJM Short,16
SS Prabhudessai,15
BB Samantray,15
RJ Quiney,15
R McLaren,15
PN Mankad,15
NK Patel,15
Aman Hakim Khan,14
RE Levi,14
Mohammed Siraj,14
DJ Jacobs,14
MS Gony,14
Harpreet Singh,13
TK Curran,13
Z Khan,13
Shahid Afridi,13
SB Styris,13
AB McDonald,13
MM Sharma,13
DL Vettori,13
TG Southee,12
SD Chitnis,12
MC Juneja,12
MJ McClenaghan,12
MJ Clarke,12
JDP Oram,11
SL Malinga,11
MA Starc,11
AJ Tye,11
Ankit Sharma,11
Arshad Khan,11
SE Rutherford,11
PR Shah,11
NM Coulter-Nile,11
TR Birt,11
LA Carseldine,11
Vivrant Sharma,11
B Akhil,10
Iqbal Abdulla,10
S Rana,10
JR Philippe,10
P Dogra,9
DS Kulkarni,9
AP Majumdar,9
CR Woakes,9
HR Shokeen,9
AG Paunikar,9
J Suchith,9
Mohammad Hafeez,9
GD Phillips,9
AD Nath,9
CJ Ferguson,9
RJ Harris,9
M Klinger,9
RV Patel,8
R Sharma,8
M Kartik,8
DL Chahar,8
PWH de Silva,8
LH Ferguson,8
Mohammed Shami,8
T Kohler-Cadmore,8
JDS Neesham,8
KA Jamieson,8
TA Boult,8
Anirudh Singh,7
BR Dunk,7
S Aravind,7
DJ Willey,7
M Jansen,7
AUK Pathan,7
AS Yadav,7
Sunny Singh,7
A Chopra,7
A Flintoff,7
MG Bracewell,7
MJ Santner,7
RR Powar,7
RR Sarwan,7
L Ronchi,7
RT Ponting,7
Avesh Khan,6
I Sharma,6
S Narwal,6
AD Mascarenhas,6
Vishnu Vinod,6
Swapnil Singh,6
JJ Bumrah,6
D Pretorius,6
OF Smith,6
S Sreesanth,6
AB Barath,6
A Nortje,6
PVD Chameera,6
CJ Jordan,6
IR Jaggi,6
Sameer Rizvi,6
LPC Silva,6
M Markande,6
Shivam Mavi,6
SP Jackson,6
RV Gomez,6
Umar Gul,6
Yashpal Singh,5
WPUJC Vaas,5
A Mithun,5
AA Bilakhia,5
Shoaib Malik,5
M Rawat,5
AN Ahmed,5
D Salunkhe,5
KB Arun Karthik,5
WD Parnell,5
Rasikh Salam,5
MM Patel,5
R Rampaul,5
SB Dubey,5
J Arunkumar,5
Imran Tahir,5
AP Dole,4
Sohail Tanvir,4
Sandeep Sharma,4
DR Sams,4
VR Aaron,4
VH Zol,4
SB Bangar,4
Arshdeep Singh,4
J Syed Mohammad,4
S Chanderpaul,4
NJ Maddinson,4
Azmatullah Omarzai,4
RJ Peterson,4
TL Seifert,4
A Nehra,4
ER Dwivedi,4
SK Trivedi,4
DJ Thornely,4
T Taibu,3
Umran Malik,3
Yudhvir Singh,3
DS Lehmann,3
Sumit Kumar,3
AU Rashid,3
AS Roy,3
AS Rajpoot,3
Joginder Sharma,3
AS Joseph,3
M Ashwin,3
Sanvir Singh,3
MA Khote,3
MD Shanaka,3
MDKJ Perera,3
Mohsin Khan,3
Navdeep Saini,3
C Sakariya,3
Anureet Singh,3
SB Jakati,3
SA Abbott,3
Akash Deep,3
S Sriram,3
R Bishnoi,3
J Yadav,3
Harmeet Singh,3
L Balaji,3
KW Richardson,3
C Madan,3
RP Singh,3
BJ Haddin,3
B Sumanth,3
A Kumble,3
TU Deshpande,3
Tanush Kotian,3
Y Gnaneswara Rao,3
AB Dinda,2
WA Mota,2
AC Thomas,2
A Choudhary,2
AA Chavan,2
AA Kulkarni,2
S Nadeem,2
R Sai Kishore,2
KC Cariappa,2
JA Richardson,2
RR Raje,2
Ravi Bishnoi,2
B Indrajith,2
R Shukla,2
Basil Thampi,2
HE van der Dussen,2
SD Lad,2
P Dubey,2
Gulbadin Naib,2
KMA Paul,2
Saurav Chauhan,2
SW Tait,2
NS Naik,2
Naveen-ul-Haq,2
JL Pattinson,2
Mujeeb Ur Rahman,2
T Banton,2
AJ Turner,2
JM Kemp,2
JJ van der Wath,2
F Behardien,2
MA Wood,2
AJ Hosein,2
P Chopra,2
DE Bollinger,2
M Ntini,2
P Sahu,2
P Ray Barman,2
I Udana,2
CV Varun,2
Noor Ahmad,2
DJ Malan,2
Virat Singh,1
Vijaykumar Vyshak,1
A Tomar,1
A Zampa,1
Arjun Tendulkar,1
Arshad Khan (2),1
Parvez Rasool,1
Ankit Soni,1
L Wood,1
I Malhotra,1
Karanveer Singh,1
Kartik Tyagi,1
KMDN Kulasekara,1
KS Sharma,1
RA Bawa,1
B Stanlake,1
J Theron,1
S Kaul,1
KJ Abbott,1
KL Nagarkoti,1
BA Bhatt,1
RS Sodhi,1
A Mukund,1
UA Birla,1
TS Mills,1
AA Noffke,1
PV Tambe,1
KAJ Roach,1
NL McCullum,1
Mustafizur Rahman,1
AR Bawne,1
SH Johnson,1
K Upadhyay,1
PJ Sangwan,1
DAJ Bracewell,1
CK Langeveldt,1
M Muralitharan,1
Liton Das,1
AF Milne,1
Mukesh Choudhary,1
NT Ellis,1
OC McCoy,1
AT Carey,1
SS Shaikh,1
K Kartikeya,1
M Theekshana,1
GD McGrath,1
GB Hogg,1
AG Murtaza,1
GR Napier,1
G Coetzee,1
DG Nalkande,1
VRV Singh,1
Shivam Sharma,1
AN Ghosh,1
VS Malik,1
DR Shorey,1
DM Bravo,1
DNT Zoysa,1
DR Martyn,1
T Henderson,1
FA Allen,1
DT Patil,1
JE Root,1
YV Dhull,1
JPR Scantlebury-Searles,1
JR Hazlewood,1
T Kohli,1
