batter,batsman_runs,boundary_runs,boundary_percentage
VRV Singh,4,4.0,100.0
BA Bhatt,6,6.0,100.0
RS Sodhi,4,4.0,100.0
Liton Das,4,4.0,100.0
A Tomar,4,4.0,100.0
P Chopra,8,8.0,100.0
GD McGrath,4,4.0,100.0
R Sai Kishore,13,12.0,92.3076923076923
J Fraser-McGurk,330,296.0,89.6969696969697
AA Kulkarni,9,8.0,88.88888888888889
L Ronchi,34,30.0,88.23529411764706
Umar Gul,39,34.0,87.17948717948718
J Arunkumar,23,20.0,86.95652173913044
MDKJ Perera,14,12.0,85.71428571428571
M Theekshana,7,6.0,85.71428571428571
Ankit Soni,7,6.0,85.71428571428571
R Bishnoi,19,16.0,84.21052631578947
ER Dwivedi,24,20.0,83.33333333333334
MA Wood,12,10.0,83.33333333333334
AUK Pathan,39,32.0,82.05128205128204
SP Narine,1534,1238.0,80.70404172099087
Shivam Sharma,5,4.0,80.0
B Stanlake,5,4.0,80.0
KMDN Kulasekara,5,4.0,80.0
NJ Maddinson,20,16.0,80.0
C Madan,15,12.0,80.0
Arshad Khan (2),5,4.0,80.0
AC Blizzard,120,96.0,80.0
Shahid Afridi,81,64.0,79.01234567901234
Kamran Akmal,128,100.0,78.125
AD Russell,2488,1938.0,77.89389067524117
BJ Haddin,18,14.0,77.77777777777779
Sumit Kumar,18,14.0,77.77777777777779
MJ Lumb,278,216.0,77.6978417266187
LJ Wright,106,82.0,77.35849056603774
Naman Dhir,140,108.0,77.14285714285715
RE Levi,83,64.0,77.10843373493977
PD Salt,653,500.0,76.5696784073507
R Shepherd,115,88.0,76.52173913043478
CH Gayle,4997,3786.0,75.76545927556533
CR Brathwaite,181,136.0,75.13812154696133
JPR Scantlebury-Searles,8,6.0,75.0
OC McCoy,8,6.0,75.0
TS Mills,8,6.0,75.0
CK Langeveldt,8,6.0,75.0
KR Mayers,379,284.0,74.93403693931398
WG Jacks,230,172.0,74.78260869565217
ST Jayasuriya,768,570.0,74.21875
GD Phillips,65,48.0,73.84615384615385
P Simran Singh,756,558.0,73.80952380952381
Akash Deep,19,14.0,73.68421052631578
AG Paunikar,49,36.0,73.46938775510205
YBK Jaiswal,1607,1180.0,73.42874922215307
Avesh Khan,41,30.0,73.17073170731707
BCJ Cutting,238,174.0,73.10924369747899
MJ McClenaghan,85,62.0,72.94117647058823
AC Gilchrist,2069,1508.0,72.88545190913484
M Ntini,11,8.0,72.72727272727273
MS Gony,99,72.0,72.72727272727273
Yudhvir Singh,22,16.0,72.72727272727273
SB Dubey,33,24.0,72.72727272727273
SA Abbott,22,16.0,72.72727272727273
Rahmanullah Gurbaz,289,210.0,72.66435986159169
KK Cooper,116,84.0,72.41379310344827
V Sehwag,2728,1972.0,72.28739002932552
PC Valthaty,505,364.0,72.07920792079207
R Ravindra,222,160.0,72.07207207207207
MW Short,117,84.0,71.7948717948718
