city,avg_runs
Bengaluru,1.5106259939280036
Indore,1.4615776081424936
Kanpur,1.4093376764386536
Dharamsala,1.4046482012098058
Rajkot,1.3998320033599327
Ahmedabad,1.3933122880860518
Guwahati,1.3788903924221922
Chandigarh,1.3722022658192872
Delhi,1.366072687949598
Kolkata,1.361484940034789
Mumbai,1.361147046140578
Bangalore,1.3592942912725565
Mohali,1.3562753036437247
Cuttack,1.343952802359882
Hyderabad,1.3218196676654863
Navi Mumbai,1.309414990859232
Jaipur,1.3080621301775148
Lucknow,1.3079500456899178
Chennai,1.2897710808461316
Abu Dhabi,1.2878736220025002
Visakhapatnam,1.2852700028272548
Pune,1.2781272979818612
Centurion,1.2745987438939288
Dubai,1.2667513496348046
Kimberley,1.2355371900826446
Ranchi,1.2304009575104728
Raipur,1.2166317260656883
Port Elizabeth,1.212283840190817
Durban,1.1948943178698874
Nagpur,1.1886792452830188
Johannesburg,1.1814432989690722
Kochi,1.18008658008658
Cape Town,1.1676413255360625
Sharjah,1.1290870488322717
East London,1.1174825174825176
Bloemfontein,1.058
