bowler,dot_balls
B Kumar,1632
SP Narine,1569
R Ashwin,1552
PP Chawla,1325
Harbhajan Singh,1263
JJ Bumrah,1228
RA Jadeja,1216
YS Chahal,1194
UT Yadav,1186
A Mishra,1185
SL Malinga,1144
Sandeep Sharma,1122
P Kumar,1075
Rashid Khan,1060
AR Patel,1021
DW Steyn,1019
DJ Bravo,998
TA Boult,986
Mohammed Shami,984
I Sharma,969
Z Khan,873
IK Pathan,835
Mohammed Siraj,806
SR Watson,803
A Nehra,798
MM Sharma,782
R Vinay Kumar,763
RP Singh,744
DS Kulkarni,742
K Rabada,717
HV Patel,710
DL Chahar,708
M Morkel,708
JD Unadkat,684
KH Pandya,676
CH Morris,668
PP Ojha,667
JA Morkel,646
SN Thakur,639
AB Dinda,627
JH Kallis,601
M Muralitharan,600
MM Patel,590
AD Russell,584
CV Varun,582
RD Chahar,574
L Balaji,537
MG Johnson,535
Kuldeep Yadav,520
KK Ahmed,512
MJ McClenaghan,507
Shakib Al Hasan,504
SK Trivedi,492
Ravi Bishnoi,492
Avesh Khan,491
KV Sharma,483
HH Pandya,481
M Prasidh Krishna,475
Arshdeep Singh,472
PJ Cummins,467
Mustafizur Rahman,464
S Nadeem,453
TG Southee,447
Imran Tahir,437
R Bhatia,436
SK Warne,426
JC Archer,420
T Natarajan,418
KA Pollard,405
A Nortje,401
S Sreesanth,399
JP Faulkner,399
YK Pathan,393
VR Aaron,387
S Kaul,387
M Kartik,382
SM Curran,378
B Lee,374
A Kumble,374
NM Coulter-Nile,368
RJ Harris,364
Washington Sundar,356
LH Ferguson,351
MS Gony,348
SB Jakati,337
MA Starc,334
R Sharma,334
Iqbal Abdulla,331
JO Holder,321
PJ Sangwan,319
S Gopal,317
MC Henriques,306
GJ Maxwell,301
WD Parnell,296
DT Christian,296
P Awana,293
S Aravind,290
DP Nannes,285
TU Deshpande,284
M Ashwin,283
SK Raina,280
Navdeep Saini,272
DL Vettori,270
MM Ali,266
R Tewatia,264
JR Hazlewood,259
Yuvraj Singh,258
J Botha,254
AB Agarkar,254
Shivam Mavi,254
DE Bollinger,254
P Negi,237
JP Duminy,234
Harpreet Brar,229
BA Stokes,228
NLTC Perera,227
AD Mathews,224
MP Stoinis,219
Yash Dayal,216
IC Pandey,212
M Markande,210
Mohsin Khan,209
AJ Tye,208
CJ Jordan,206
K Gowtham,206
Umran Malik,205
R Dhawan,205
PV Tambe,204
PWH de Silva,202
Harmeet Singh,201
SW Tait,200
STR Binny,199
Azhar Mahmood,199
AS Rajpoot,192
M Theekshana,190
A Symonds,190
A Singh,189
KK Cooper,184
MR Marsh,181
CH Gayle,180
M Jansen,176
BW Hilfenhaus,173
Noor Ahmad,171
DR Smith,168
BB Sran,168
RR Powar,166
MF Maharoof,165
AS Joseph,162
CR Woakes,161
M Pathirana,160
GB Hogg,159
GD McGrath,153
J Yadav,153
Basil Thampi,152
C Green,149
Harshit Rana,148
Kartik Tyagi,148
RE van der Merwe,148
Mujeeb Ur Rahman,147
RP Meredith,147
Mohammad Nabi,146
VG Arora,144
C Sakariya,143
Shahbaz Ahmed,142
DR Sams,142
J Suchith,140
JP Behrendorff,139
Anureet Singh,139
Ankit Sharma,137
MJ Santner,134
Naveen-ul-Haq,133
L Ngidi,131
Bipul Sharma,131
SM Pollock,130
R Rampaul,130
Mukesh Kumar,130
A Zampa,129
KW Richardson,129
Yash Thakur,128
WPUJC Vaas,128
AC Thomas,126
AD Mascarenhas,124
PVD Chameera,122
Sohail Tanvir,121
Mukesh Choudhary,120
AN Ahmed,120
VY Mahesh,120
R McLaren,116
VRV Singh,114
NT Ellis,112
Pankaj Singh,111
S Badree,109
LR Shukla,109
JR Hopes,105
SJ Srivastava,103
A Chandila,103
AG Murtaza,101
DJ Hooda,101
AA Chavan,100
CRD Fernando,99
M Ntini,99
S Tyagi,93
BA Bhatt,93
A Mithun,90
RG Sharma,88
YA Abdulla,88
DJ Hussey,86
Suyash Sharma,85
VS Malik,84
KR Sen,83
Akash Madhwal,83
SB Styris,83
ST Jayasuriya,83
D Wiese,82
J Little,82
Lalit Yadav,82
Simarjeet Singh,82
V Shankar,80
DJ Willey,79
TM Dilshan,79
JDP Oram,79
A Ashish Reddy,79
MN Samuels,79
CJ Anderson,79
JD Ryder,79
HR Shokeen,78
BCJ Cutting,77
JL Pattinson,77
BAW Mendis,76
BJ Hodge,75
SC Ganguly,75
SE Bond,75
S Lamichhane,75
CR Brathwaite,74
SMSM Senanayake,73
S Sandeep Warrier,72
DJG Sammy,72
LS Livingstone,71
V Pratap Singh,71
Joginder Sharma,71
G Coetzee,71
Abhishek Sharma,70
FH Edwards,70
CK Langeveldt,69
AF Milne,69
K Kartikeya,69
AM Nayar,69
TS Mills,69
KA Jamieson,69
J Theron,68
KP Appanna,68
S Kaushik,68
IS Sodhi,64
P Parameswaran,64
Mohammad Asif,64
Karanveer Singh,64
B Stanlake,64
DP Vijaykumar,63
JDS Neesham,63
Vijaykumar Vyshak,63
Kamran Khan,63
KC Cariappa,61
RS Bopara,61
Parvez Rasool,60
S Randiv,60
B Akhil,60
Y Venugopal Rao,59
N Rana,58
C de Grandhomme,58
SS Cottrell,58
TK Curran,57
Anand Rajan,57
T Thushara,57
Shahid Afridi,57
AM Salvi,57
Fazalhaq Farooqi,56
Rasikh Salam,56
R Sai Kishore,56
Akash Deep,55
SB Bangar,55
KP Pietersen,54
Akash Singh,53
V Kohli,52
Azmatullah Omarzai,52
BE Hendricks,52
KMA Paul,52
Umar Gul,51
HF Gurney,50
AB McDonald,50
KL Nagarkoti,50
OC McCoy,49
N Thushara,49
S Ladda,48
JE Taylor,48
AS Roy,48
MA Wood,47
J Syed Mohammad,47
N Burger,46
KM Asif,46
KMDN Kulasekara,45
I Udana,45
SB Wagh,45
Arshad Khan,44
DJ Muthuswami,44
