match_id,batter,batsman_runs,player_of_match,is_top_scorer
335982,BB McCullum,158,BB McCullum,True
335983,MEK Hussey,116,MEK Hussey,True
335984,G Gambhir,58,MF Maharoof,False
335985,RV Uthappa,48,MV Boucher,False
335986,DJ Hussey,38,DJ Hussey,True
335987,SR Watson,76,SR Watson,True
335988,V Sehwag,94,V Sehwag,True
335989,ML Hayden,81,ML Hayden,True
335990,A Symonds,117,YK Pathan,False
335991,KC Sangakkara,94,KC Sangakkara,True
335992,SR Watson,61,SR Watson,True
335993,ML Hayden,70,JDP Oram,False
335994,AC Gilchrist,109,AC Gilchrist,True
335995,SM Katich,75,SM Katich,True
335996,MS Dhoni,65,MS Dhoni,True
335997,DJ Bravo,64,ST Jayasuriya,False
335998,G Gambhir,86,GD McGrath,False
335999,SE Marsh,84,SE Marsh,True
336000,SA Asnodkar,60,SA Asnodkar,True
336001,V Sehwag,71,V Sehwag,True
336002,HH Gibbs,47,R Vinay Kumar,False
336003,DJ Hussey,71,IK Pathan,False
336004,V Sehwag,40,SM Pollock,False
336005,JA Morkel,42,Sohail Tanvir,False
336006,R Dravid,66,S Sreesanth,False
336007,AC Gilchrist,54,AC Gilchrist,True
336008,SA Asnodkar,39,A Nehra,False
336009,G Gambhir,80,MS Dhoni,False
336010,MV Boucher,50,SC Ganguly,False
336011,YK Pathan,68,YK Pathan,True
336012,ST Jayasuriya,54,CRD Fernando,False
336013,S Badrinath,64,L Balaji,False
336014,SC Ganguly,91,SC Ganguly,True
336015,SR Watson,74,SR Watson,True
336016,SE Marsh,74,SE Marsh,True
336017,Salman Butt,48,Shoaib Akhtar,False
336018,ST Jayasuriya,114,ST Jayasuriya,True
336019,SE Marsh,115,SE Marsh,True
336020,G Gambhir,79,A Mishra,False
336021,ST Jayasuriya,48,SM Pollock,False
336022,V Sehwag,51,DPMD Jayawardene,False
336023,GC Smith,75,GC Smith,True
336024,Y Venugopal Rao,57,DJ Bravo,False
336025,Salman Butt,73,M Ntini,False
336026,SP Goswami,52,SP Goswami,True
336027,YK Pathan,48,YK Pathan,True
336028,SE Marsh,81,SE Marsh,True
336029,R Dravid,47,A Kumble,False
336031,SE Marsh,60,SE Marsh,True
336032,ST Jayasuriya,66,KD Karthik,False
336033,GC Smith,91,JA Morkel,False
336034,RG Sharma,57,P Kumar,False
336035,SC Ganguly,86,Umar Gul,False
336036,NK Patel,40,Sohail Tanvir,False
336037,SK Raina,54,SK Raina,True
336038,SR Watson,52,SR Watson,True
336039,SK Raina,55,M Ntini,False
336040,YK Pathan,56,YK Pathan,True
392181,SR Tendulkar,59,SR Tendulkar,True
392182,R Dravid,66,R Dravid,True
392183,K Goel,38,DL Vettori,False
392184,HH Gibbs,43,RP Singh,False
392185,ML Hayden,65,M Muralitharan,False
392186,CH Gayle,44,CH Gayle,True
392188,AC Gilchrist,71,AC Gilchrist,True
392189,AB de Villiers,105,AB de Villiers,True
392190,YK Pathan,60,YK Pathan,True
392191,RS Bopara,84,RS Bopara,True
392192,HH Gibbs,58,PP Ojha,False
392194,TM Dilshan,67,TM Dilshan,True
392195,KC Sangakkara,60,KC Sangakkara,True
392196,HH Gibbs,69,HH Gibbs,True
392197,SR Tendulkar,68,SR Tendulkar,True
392198,YK Pathan,62,YK Pathan,True
392199,MN van Wyk,43,MV Boucher,False
392200,JP Duminy,59,KC Sangakkara,False
392201,TM Dilshan,52,DP Nannes,False
392202,SK Raina,98,SK Raina,True
392203,BJ Hodge,73,JP Duminy,False
392204,Yuvraj Singh,50,Yuvraj Singh,True
392205,TL Suman,41,YK Pathan,False
392206,KD Karthik,52,SB Jakati,False
392207,BJ Hodge,70,DPMD Jayawardene,False
392208,JH Kallis,69,JH Kallis,True
392209,MS Dhoni,58,MS Dhoni,True
392210,GC Smith,77,GC Smith,True
392211,MN van Wyk,74,G Gambhir,False
392212,JP Duminy,52,RG Sharma,False
392213,NV Ojha,52,A Singh,False
392214,ML Hayden,89,ML Hayden,True
392215,AB de Villiers,50,A Nehra,False
392216,A Symonds,60,DPMD Jayawardene,False
392217,S Badrinath,59,S Badrinath,True
392218,AM Rahane,62,JP Duminy,False
392219,SC Ganguly,44,A Mishra,False
