batter,runs,balls,strike_rate
L Wood,9,3,300.0
B Stanlake,5,2,250.0
J Fraser-McGurk,330,150,220.00000000000003
R Sai Kishore,13,6,216.66666666666666
Umar Gul,39,19,205.26315789473685
RS Sodhi,4,2,200.0
Shahid Afridi,81,46,176.08695652173913
I Malhotra,7,4,175.0
WG Jacks,230,133,172.93233082706766
PD Salt,653,385,169.6103896103896
T Stubbs,405,239,169.4560669456067
R Shepherd,115,68,169.11764705882354
TM Head,772,458,168.5589519650655
LJ Wright,106,63,168.25396825396825
Naman Dhir,140,84,166.66666666666669
Shivam Sharma,5,3,166.66666666666669
KMDN Kulasekara,5,3,166.66666666666669
KK Cooper,116,70,165.71428571428572
AD Russell,2488,1515,164.22442244224422
Kamran Akmal,128,78,164.1025641025641
Avesh Khan,41,25,164.0
BJ Haddin,18,11,163.63636363636365
BCJ Cutting,238,146,163.013698630137
KJ Abbott,13,8,162.5
H Klaasen,993,613,161.99021207177816
Ramandeep Singh,170,106,160.37735849056605
Ashutosh Sharma,189,118,160.16949152542372
ER Dwivedi,24,15,160.0
OC McCoy,8,5,160.0
Akash Deep,19,12,158.33333333333331
TH David,659,417,158.0335731414868
D Pretorius,44,28,157.14285714285714
SB Dubey,33,21,157.14285714285714
SP Narine,1534,984,155.8943089430894
Shashank Singh,423,272,155.51470588235296
K Gowtham,247,159,155.34591194968556
N Pooran,1769,1143,154.7681539807524
LS Livingstone,939,609,154.1871921182266
Rashid Khan,545,355,153.52112676056336
R Ravindra,222,146,152.05479452054794
CR Brathwaite,181,120,150.83333333333334
Bipul Sharma,187,124,150.80645161290323
JC Archer,199,132,150.75757575757575
GJ Maxwell,2772,1842,150.4885993485342
Harmeet Singh,18,12,150.0
AUK Pathan,39,26,150.0
C Green,707,472,149.78813559322032
CH Morris,618,413,149.636803874092
RM Patidar,799,534,149.625468164794
A Raghuvanshi,163,109,149.54128440366972
Abhishek Sharma,1377,925,148.86486486486484
V Sehwag,2728,1833,148.82705946535734
AB de Villiers,5181,3487,148.58044164037855
LPC Silva,40,27,148.14814814814815
AP Dole,34,23,147.82608695652172
Abishek Porel,360,244,147.54098360655738
RR Rossouw,473,321,147.35202492211837
YBK Jaiswal,1607,1095,146.7579908675799
Dhruv Jurel,347,237,146.41350210970467
SD Hope,183,125,146.4
P Sahu,19,13,146.15384615384613
JM Sharma,730,501,145.70858283433134
SO Hetmyer,1243,854,145.5503512880562
AJ Hosein,16,11,145.45454545454547
Arjun Tendulkar,13,9,144.44444444444443
Umran Malik,23,16,143.75
RR Pant,3297,2296,143.59756097560975
PJ Cummins,515,359,143.4540389972145
Arshad Khan,96,67,143.28358208955223
PP Shaw,1892,1321,143.22482967448903
P Simran Singh,756,528,143.1818181818182
A Ashish Reddy,280,196,142.85714285714286
MF Maharoof,177,124,142.74193548387098
Misbah-ul-Haq,117,82,142.6829268292683
SA Yadav,3594,2522,142.50594766058683
JC Buttler,3583,2519,142.23898372369987
CH Gayle,4997,3516,142.1217292377702
Abdul Samad,579,408,141.91176470588235
R Powell,360,254,141.73228346456693
LH Ferguson,68,48,141.66666666666669
D Wiese,148,105,140.95238095238096
Vivrant Sharma,69,49,140.81632653061226
Mohammad Nabi,221,157,140.76433121019107
KA Pollard,3437,2447,140.45770331017573
MJ Lumb,278,198,140.4040404040404
JM Bairstow,1589,1132,140.37102473498234
TU Deshpande,21,15,140.0
V Viyaskanth,7,5,140.0
HH Pandya,2534,1814,139.69128996692393
Atharva Taide,247,177,139.54802259887003
S Dube,1502,1077,139.46146703806872
Tilak Varma,1156,830,139.27710843373492
Sunny Singh,43,31,138.70967741935485
DP Conway,924,669,138.11659192825113
YK Pathan,3222,2334,138.04627249357327
HM Amla,577,418,138.03827751196172
PBB Rajapaksa,277,201,137.81094527363186
MJ Guptill,271,197,137.56345177664974
D Salunkhe,33,24,137.5
Yudhvir Singh,22,16,137.5
KR Mayers,379,276,137.31884057971016
Nithish Kumar Reddy,303,221,137.10407239819006
RN ten Doeschate,326,238,136.9747899159664
JA Morkel,975,712,136.93820224719101
MM Ali,1162,849,136.86690223792698
MP Stoinis,1866,1366,136.60322108345534
RK Singh,893,654,136.54434250764527
CA Lynn,1329,974,136.4476386036961
I Udana,15,11,136.36363636363635
RA Tripathi,2236,1650,135.51515151515153
M Morkel,126,93,135.48387096774192
MK Lomror,527,389,135.47557840616966
DA Warner,6567,4849,135.4299855640338
SV Samson,4419,3270,135.1376146788991
DA Miller,2924,2171,134.68447719944726
SN Thakur,307,228,134.64912280701756
PVD Chameera,43,32,134.375
B Sai Sudharsan,1034,770,134.28571428571428
SR Watson,3880,2892,134.1632088520055
N Wadhera,350,261,134.09961685823754
ST Jayasuriya,768,573,134.03141361256544
M Shahrukh Khan,553,413,133.89830508474577
RD Gaikwad,2380,1781,133.63279056709715
JJ Roy,614,460,133.47826086956522
B Akhil,76,57,133.33333333333331
AN Ahmed,36,27,133.33333333333331
JPR Scantlebury-Searles,8,6,133.33333333333331
K Upadhyay,12,9,133.33333333333331
VRV Singh,4,3,133.33333333333331
DAJ Bracewell,12,9,133.33333333333331
CRD Fernando,4,3,133.33333333333331
P Chopra,8,6,133.33333333333331
F du Plessis,4571,3435,133.07132459970887
AC Gilchrist,2069,1555,133.05466237942122
MS Dhoni,5243,3947,132.8350646060299
JR Hopes,417,314,132.80254777070064
Ishan Kishan,2644,1991,132.79758915118032
VR Iyer,1326,1000,132.6
SK Raina,5536,4177,132.53531242518554
C de Grandhomme,303,229,132.31441048034935
DR Smith,2385,1803,132.27953410981698
Shubman Gill,3216,2432,132.23684210526315
BJ Rohrer,193,146,132.1917808219178
KP Pietersen,1001,758,132.05804749340368
ML Hayden,1107,839,131.94278903456495
AC Blizzard,120,91,131.86813186813185
KD Karthik,4843,3687,131.35340385136968
SM Curran,883,673,131.2035661218425
DL Chahar,80,61,131.14754098360655
Q de Kock,3160,2410,131.12033195020746
E Lewis,654,499,131.06212424849699
KL Rahul,4689,3578,131.05086640581328
Harbhajan Singh,833,636,130.9748427672956
N Rana,2636,2015,130.81885856079404
A Mithun,34,26,130.76923076923077
D Brevis,230,176,130.6818181818182
MS Gony,99,76,130.26315789473685
BA Stokes,935,718,130.22284122562675
SE Marsh,2489,1913,130.10977522216413
NLTC Perera,424,326,130.06134969325154
JP Faulkner,527,406,129.80295566502463
JD Ryder,604,466,129.6137339055794
AU Rashid,22,17,129.41176470588235
PN Mankad,97,75,129.33333333333331
R Parag,1173,909,129.04290429042905
R Tewatia,1013,788,128.55329949238578
V Kohli,8014,6236,128.51186658114176
SN Khan,585,456,128.28947368421052
MA Agarwal,2669,2081,128.25564632388276
DJ Mitchell,351,274,128.1021897810219
KH Pandya,1647,1287,127.97202797202797
RG Sharma,6630,5183,127.91819409608335
PD Collingwood,203,159,127.67295597484276
A Manohar,231,181,127.62430939226519
S Narwal,37,29,127.58620689655173
Sikandar Raza,182,143,127.27272727272727
