toss_winner,avg_runs
Royal Challengers Bengaluru,388.875
Lucknow Super Giants,369.42105263157896
Punjab Kings,354.625
Gujarat Titans,348.22727272727275
Gujarat Lions,333.53333333333336
Delhi Capitals,328.58
Mumbai Indians,323.06293706293707
Kings XI Punjab,321.15294117647056
Rajasthan Royals,317.1333333333333
Chennai Super Kings,312.8606557377049
Royal Challengers Bangalore,312.6194690265487
Deccan Chargers,312.0232558139535
Sunrisers Hyderabad,311.59090909090907
Kolkata Knight Riders,311.39344262295083
Rising Pune Supergiant,305.1666666666667
Delhi Daredevils,305.15
Pune Warriors,291.2
Kochi Tuskers Kerala,273.25
Rising Pune Supergiants,270.7142857142857
