venue,total_matches,avg_runs
Arun Jaitley Stadium,14,1.3536948748510131
"Arun Jaitley Stadium, Delhi",16,1.536966944234166
Barabati Stadium,7,1.343952802359882
"Barsapara Cricket Stadium, Guwahati",3,1.3788903924221922
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",14,1.3079500456899178
Brabourne Stadium,10,1.4098825435398947
"Brabourne Stadium, Mumbai",17,1.4355435050529948
Buffalo Park,3,1.1174825174825176
De Beers Diamond Oval,3,1.2355371900826446
Dr DY Patil Sports Academy,17,1.2046080641121963
"Dr DY Patil Sports Academy, Mumbai",20,1.3400611620795106
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,13,1.2334540665130063
"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2,1.6
Dubai International Cricket Stadium,46,1.286846558019414
Eden Gardens,77,1.3152101400933955
"Eden Gardens, Kolkata",16,1.5772420943494039
Feroz Shah Kotla,60,1.3205017921146953
Green Park,4,1.4093376764386536
Himachal Pradesh Cricket Association Stadium,9,1.3418249189439555
"Himachal Pradesh Cricket Association Stadium, Dharamsala",4,1.5427698574338085
Holkar Cricket Stadium,9,1.4615776081424936
JSCA International Stadium Complex,7,1.2304009575104728
Kingsmead,15,1.1948943178698874
M Chinnaswamy Stadium,65,1.3592942912725565
"M Chinnaswamy Stadium, Bengaluru",14,1.5547765118317265
M.Chinnaswamy Stadium,15,1.4673726388093875
MA Chidambaram Stadium,9,1.2032863849765258
"MA Chidambaram Stadium, Chepauk",48,1.2990646258503402
"MA Chidambaram Stadium, Chepauk, Chennai",28,1.300762910798122
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",5,1.3562753036437247
Maharashtra Cricket Association Stadium,22,1.3235738571968265
"Maharashtra Cricket Association Stadium, Pune",13,1.3166666666666667
"Narendra Modi Stadium, Ahmedabad",24,1.4399293286219081
Nehru Stadium,5,1.18008658008658
New Wanderers Stadium,8,1.1814432989690722
Newlands,7,1.1676413255360625
OUTsurance Oval,2,1.058
Punjab Cricket Association IS Bindra Stadium,10,1.4310415808974888
"Punjab Cricket Association IS Bindra Stadium, Mohali",11,1.3772338772338772
"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",5,1.5376967688483845
"Punjab Cricket Association Stadium, Mohali",35,1.3291797725623034
Rajiv Gandhi International Stadium,15,1.2831809365475202
"Rajiv Gandhi International Stadium, Uppal",49,1.2830058600482592
"Rajiv Gandhi International Stadium, Uppal, Hyderabad",13,1.5095480585614258
"Sardar Patel Stadium, Motera",12,1.3021085378499828
Saurashtra Cricket Association Stadium,10,1.3998320033599327
Sawai Mansingh Stadium,47,1.2792825112107624
"Sawai Mansingh Stadium, Jaipur",10,1.4434599156118144
Shaheed Veer Narayan Singh International Stadium,6,1.2166317260656883
Sharjah Cricket Stadium,28,1.2864208633093526
Sheikh Zayed Stadium,29,1.2789891696750904
St George's Park,7,1.212283840190817
Subrata Roy Sahara Stadium,16,1.1837908496732026
SuperSport Park,12,1.2745987438939288
"Vidarbha Cricket Association Stadium, Jamtha",3,1.1886792452830188
Wankhede Stadium,73,1.3306236143482462
"Wankhede Stadium, Mumbai",45,1.4280348144754924
"Zayed Cricket Stadium, Abu Dhabi",8,1.3207043756670225
