match_id,predicted_winner,total_runs_calculated,winner,correct_prediction
335982,Kolkata Knight Riders,222,Kolkata Knight Riders,True
335983,Chennai Super Kings,240,Chennai Super Kings,True
335984,Delhi Daredevils,132,Delhi Daredevils,True
335985,Royal Challengers Bangalore,166,Royal Challengers Bangalore,True
335986,Kolkata Knight Riders,112,Kolkata Knight Riders,True
335987,Rajasthan Royals,168,Rajasthan Royals,True
335988,Delhi Daredevils,143,Delhi Daredevils,True
335989,Chennai Super Kings,208,Chennai Super Kings,True
335990,Rajasthan Royals,217,Rajasthan Royals,True
335991,Kings XI Punjab,182,Kings XI Punjab,True
335992,Rajasthan Royals,138,Rajasthan Royals,True
335993,Chennai Super Kings,152,Chennai Super Kings,True
335994,Deccan Chargers,155,Deccan Chargers,True
335995,Kings XI Punjab,162,Kings XI Punjab,True
335996,Chennai Super Kings,178,Chennai Super Kings,True
335997,Mumbai Indians,138,Mumbai Indians,True
335998,Delhi Daredevils,191,Delhi Daredevils,True
335999,Kings XI Punjab,167,Kings XI Punjab,True
336000,Rajasthan Royals,196,Rajasthan Royals,True
336001,Delhi Daredevils,172,Delhi Daredevils,True
336002,Royal Challengers Bangalore,171,Royal Challengers Bangalore,True
336003,Kings XI Punjab,178,Kings XI Punjab,True
336004,Mumbai Indians,162,Mumbai Indians,True
336005,Rajasthan Royals,110,Rajasthan Royals,True
336006,Kings XI Punjab,127,Kings XI Punjab,True
336007,Deccan Chargers,148,Deccan Chargers,True
336008,Mumbai Indians,104,Mumbai Indians,True
336009,Chennai Super Kings,188,Chennai Super Kings,True
336010,Kolkata Knight Riders,129,Kolkata Knight Riders,True
336011,Rajasthan Royals,141,Rajasthan Royals,True
336012,Mumbai Indians,126,Mumbai Indians,True
336013,Chennai Super Kings,181,Chennai Super Kings,True
336014,Kolkata Knight Riders,204,Kolkata Knight Riders,True
336015,Rajasthan Royals,159,Rajasthan Royals,True
336016,Kings XI Punjab,144,Kings XI Punjab,True
336017,Kolkata Knight Riders,133,Kolkata Knight Riders,True
336018,Mumbai Indians,158,Mumbai Indians,True
336019,Kings XI Punjab,221,Kings XI Punjab,True
336020,Delhi Daredevils,194,Delhi Daredevils,True
336021,Mumbai Indians,68,Mumbai Indians,True
336022,Delhi Daredevils,118,Kings XI Punjab,False
336023,Rajasthan Royals,197,Rajasthan Royals,True
336024,Mumbai Indians,178,Mumbai Indians,True
336025,Kolkata Knight Riders,149,Chennai Super Kings,False
336026,Delhi Daredevils,158,Delhi Daredevils,True
336027,Rajasthan Royals,150,Rajasthan Royals,True
336028,Kings XI Punjab,189,Kings XI Punjab,True
